state_name,state_abbr,county_name,state_fips,county_fips,year,unemployment_rate,income,population,income_per_capita
Alabama,AL,Autauga,1,1,1969,,69973,25166,2780
Alabama,AL,Autauga,1,1,1970,,77712,24606,3158
Alabama,AL,Autauga,1,1,1971,,88114,25508,3454
Alabama,AL,Autauga,1,1,1972,,100161,27166,3687
Alabama,AL,Autauga,1,1,1973,,114952,28463,4039
Alabama,AL,Autauga,1,1,1974,,124258,29266,4246
Alabama,AL,Autauga,1,1,1975,,131693,29718,4431
Alabama,AL,Autauga,1,1,1976,,150535,29896,5035
Alabama,AL,Autauga,1,1,1977,,162073,30462,5320
Alabama,AL,Autauga,1,1,1978,,188411,30882,6101
Alabama,AL,Autauga,1,1,1979,,228009,32055,7113
Alabama,AL,Autauga,1,1,1980,,250067,32215,7762
Alabama,AL,Autauga,1,1,1981,,261935,31985,8189
Alabama,AL,Autauga,1,1,1982,,280188,32036,8746
Alabama,AL,Autauga,1,1,1983,,302017,32054,9422
Alabama,AL,Autauga,1,1,1984,,337459,32134,10502
Alabama,AL,Autauga,1,1,1985,,366173,32245,11356
Alabama,AL,Autauga,1,1,1986,,390685,32893,11877
Alabama,AL,Autauga,1,1,1987,,424253,33268,12753
Alabama,AL,Autauga,1,1,1988,,465642,33636,13844
Alabama,AL,Autauga,1,1,1989,,503159,33996,14801
Alabama,AL,Autauga,1,1,1990,6.5,531809,34353,15481
Alabama,AL,Autauga,1,1,1991,6.7,575036,35010,16425
Alabama,AL,Autauga,1,1,1992,6.5,613812,35985,17057
Alabama,AL,Autauga,1,1,1993,5.9,653796,36953,17693
Alabama,AL,Autauga,1,1,1994,5,713087,38186,18674
Alabama,AL,Autauga,1,1,1995,5.6,756368,39112,19339
Alabama,AL,Autauga,1,1,1996,3.9,809589,40207,20136
Alabama,AL,Autauga,1,1,1997,3.9,866410,41238,21010
Alabama,AL,Autauga,1,1,1998,3.2,925640,42106,21984
Alabama,AL,Autauga,1,1,1999,3.8,981753,42963,22851
Alabama,AL,Autauga,1,1,2000,4.1,1038187,44021,23584
Alabama,AL,Autauga,1,1,2001,4.1,1106194,44889,24643
Alabama,AL,Autauga,1,1,2002,4.8,1151499,45909,25082
Alabama,AL,Autauga,1,1,2003,5,1240194,46800,26500
Alabama,AL,Autauga,1,1,2004,4.7,1341934,48366,27745
Alabama,AL,Autauga,1,1,2005,3.8,1440795,49676,29004
Alabama,AL,Autauga,1,1,2006,3.3,1536855,51328,29942
