state_name,state_abbr,county_name,state_fips,county_fips,year,unemployment_rate,income,population,income_per_capita
Alabama,AL,Autauga,01,001,1969,,69973.0,25166.0,2780.0
Alabama,AL,Autauga,01,001,1970,,77712.0,24606.0,3158.0
Alabama,AL,Autauga,01,001,1971,,88114.0,25508.0,3454.0
Alabama,AL,Autauga,01,001,1972,,100161.0,27166.0,3687.0
Alabama,AL,Autauga,01,001,1973,,114952.0,28463.0,4039.0
Alabama,AL,Autauga,01,001,1974,,124258.0,29266.0,4246.0
Alabama,AL,Autauga,01,001,1975,,131693.0,29718.0,4431.0
Alabama,AL,Autauga,01,001,1976,,150535.0,29896.0,5035.0
Alabama,AL,Autauga,01,001,1977,,162073.0,30462.0,5320.0
Alabama,AL,Autauga,01,001,1978,,188411.0,30882.0,6101.0
Alabama,AL,Autauga,01,001,1979,,228009.0,32055.0,7113.0
Alabama,AL,Autauga,01,001,1980,,250067.0,32215.0,7762.0
Alabama,AL,Autauga,01,001,1981,,261935.0,31985.0,8189.0
Alabama,AL,Autauga,01,001,1982,,280188.0,32036.0,8746.0
Alabama,AL,Autauga,01,001,1983,,302017.0,32054.0,9422.0
Alabama,AL,Autauga,01,001,1984,,337459.0,32134.0,10502.0
Alabama,AL,Autauga,01,001,1985,,366173.0,32245.0,11356.0
Alabama,AL,Autauga,01,001,1986,,390685.0,32893.0,11877.0
Alabama,AL,Autauga,01,001,1987,,424253.0,33268.0,12753.0
Alabama,AL,Autauga,01,001,1988,,465642.0,33636.0,13844.0
Alabama,AL,Autauga,01,001,1989,,503159.0,33996.0,14801.0
Alabama,AL,Autauga,01,001,1990,6.5,531809.0,34353.0,15481.0
Alabama,AL,Autauga,01,001,1991,6.7,575036.0,35010.0,16425.0
Alabama,AL,Autauga,01,001,1992,6.5,613812.0,35985.0,17057.0
Alabama,AL,Autauga,01,001,1993,5.9,653796.0,36953.0,17693.0
Alabama,AL,Autauga,01,001,1994,5.0,713087.0,38186.0,18674.0
Alabama,AL,Autauga,01,001,1995,5.6,756368.0,39112.0,19339.0
Alabama,AL,Autauga,01,001,1996,3.9,809589.0,40207.0,20136.0
Alabama,AL,Autauga,01,001,1997,3.9,866410.0,41238.0,21010.0
Alabama,AL,Autauga,01,001,1998,3.2,925640.0,42106.0,21984.0
Alabama,AL,Autauga,01,001,1999,3.8,981753.0,42963.0,22851.0
Alabama,AL,Autauga,01,001,2000,4.1,1038187.0,44021.0,23584.0
